Type, Time (microseconds), Expansions
A-Star, 117.000000, 76
Branch and Bound, 579.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 577.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 558.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 563.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 577.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 562.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 566.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 559.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 557.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 565.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 571.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 564.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 578.000000, 280
A-Star, 119.000000, 76
Branch and Bound, 574.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 566.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 573.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 574.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 560.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 580.000000, 280
A-Star, 108.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 577.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 600.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 558.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 578.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 561.000000, 280
A-Star, 142.000000, 76
Branch and Bound, 561.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 572.000000, 280
A-Star, 106.000000, 76
Branch and Bound, 583.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 559.000000, 280
A-Star, 105.000000, 76
Branch and Bound, 546.000000, 280
A-Star, 121.000000, 76
Branch and Bound, 554.000000, 280
A-Star, 108.000000, 76
Branch and Bound, 561.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 567.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 558.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 573.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 563.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 593.000000, 280
A-Star, 108.000000, 76
Branch and Bound, 577.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 572.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 575.000000, 280
A-Star, 121.000000, 76
Branch and Bound, 586.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 563.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 577.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 567.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 623.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 574.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 561.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 554.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 578.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 573.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 564.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 570.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 564.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 559.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 579.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 554.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 565.000000, 280
A-Star, 116.000000, 76
Branch and Bound, 673.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 581.000000, 280
A-Star, 117.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 570.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 572.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 560.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 571.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 565.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 559.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 564.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 610.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 572.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 559.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 568.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 572.000000, 280
A-Star, 107.000000, 76
Branch and Bound, 558.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 552.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 578.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 577.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 110.000000, 76
Branch and Bound, 565.000000, 280
A-Star, 163.000000, 76
Branch and Bound, 610.000000, 280
A-Star, 107.000000, 76
Branch and Bound, 555.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 560.000000, 280
A-Star, 112.000000, 76
Branch and Bound, 562.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 578.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 113.000000, 76
Branch and Bound, 583.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 567.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 567.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 564.000000, 280
A-Star, 108.000000, 76
Branch and Bound, 594.000000, 280
A-Star, 115.000000, 76
Branch and Bound, 578.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 569.000000, 280
A-Star, 114.000000, 76
Branch and Bound, 575.000000, 280
A-Star, 111.000000, 76
Branch and Bound, 565.000000, 280
A-Star, 109.000000, 76
Branch and Bound, 575.000000, 280
A-Star, 110.000000, 76
